sequence number,asset,time (from exchange),ask,ask size,bid,bid size
6718114969,1747531475417605919,cXRPUSD,23628.0,675.0,23625.0,4558.0
6718114968,1747531475311215598,cSOLUSD,1670900.0,9702.0,1670600.0,844.0
6718114937,1747531474594622282,cLINKUSD,153870.0,288.0,153850.0,137.0
6718114971,1747531475467511250,cSUIUSD,37790.0,252.0,37782.0,252.0
19615294387,1747531475113063858,BTCUSD,1032684000.0,394.0,1032683000.0,1115557.0
6718114977,1747531475564651526,cETHUSD,24832900.0,5722.0,24832800.0,14711.0
6718114775,1747531473265810625,cAVAXUSD,223200.0,1296.0,223100.0,1414.0
6718114975,1747531475541498873,cADAUSD,7435.0,2214.0,7433.0,793.0
6718114972,1747531475528615641,cSOLUSD,1670900.0,7448.0,,
6718115009,1747531476086081043,cXRPUSD,23630.0,0.0,,
6718114979,1747531475588041098,cSUIUSD,,,37780.0,127.0
6718114993,1747531475825155935,cLINKUSD,154280.0,0.0,,
19615294388,1747531475853642655,BTCUSD,,,1032683000.0,1115517.0
6718115064,1747531476672259441,cETHUSD,24832900.0,7572.0,24832800.0,12861.0
6718115169,1747531477073384009,cADAUSD,7434.0,393.0,7433.0,0.0
6718115168,1747531477072614777,cAVAXUSD,,,223100.0,623.0
6718114973,1747531475529508437,cSOLUSD,1670900.0,0.0,,
6718115010,1747531476125671401,cXRPUSD,23628.0,0.0,,
6718114994,1747531475833050269,cLINKUSD,154310.0,70000.0,,
6718114980,1747531475624655431,cSUIUSD,,,37782.0,127.0
19615294389,1747531475877389936,BTCUSD,1032918000.0,52500.0,,
6718115065,1747531476672574842,cETHUSD,24832900.0,9433.0,,
6718115276,1747531477149870972,cAVAXUSD,,,223100.0,759.0
6718115210,1747531477090739410,cADAUSD,7434.0,793.0,7387.0,393.0
6718115015,1747531476198670144,cXRPUSD,23630.0,23284.0,,
6718114989,1747531475740873219,cSOLUSD,1670900.0,9702.0,,
6718114997,1747531475883962422,cLINKUSD,154330.0,135.0,,
6718114981,1747531475637803673,cSUIUSD,,,37783.0,3470.0
19615294390,1747531476694784253,BTCUSD,,,1032683000.0,1115551.0
6718115066,1747531476783102824,cETHUSD,24832900.0,7572.0,,
6718115362,1747531478032922174,cAVAXUSD,224400.0,79424.0,,
6718115278,1747531477150741527,cADAUSD,,,7433.0,400.0
6718114999,1747531476046329847,cSOLUSD,1670900.0,10127.0,,
6718115016,1747531476204709521,cXRPUSD,23628.0,675.0,,
6718114984,1747531475662055985,cSUIUSD,,,37785.0,125.0
6718114998,1747531475936438110,cLINKUSD,153870.0,0.0,,
6718115067,1747531476811532978,cETHUSD,,,24832800.0,14711.0
6718115292,1747531477177726090,cADAUSD,,,7433.0,793.0
6718115380,1747531478282519960,cAVAXUSD,224300.0,58630.0,,
6718115031,1747531476368701914,cXRPUSD,23630.0,0.0,23626.0,40848.0
6718115000,1747531476063161767,cSOLUSD,,,1670700.0,318.0
6718115024,1747531476327212715,cLINKUSD,153880.0,667.0,,
6718114987,1747531475716882545,cSUIUSD,37819.0,2250.0,37783.0,0.0
19615294393,1747531479775331517,BTCUSD,,,1032533000.0,4736.0
6718115068,1747531476830829857,cETHUSD,24832900.0,5722.0,,
6718115313,1747531477272887841,cADAUSD,7434.0,400.0,,
6718115007,1747531476080965149,cSOLUSD,1670800.0,848.0,,
6718115044,1747531476394436963,cXRPUSD,23628.0,0.0,23626.0,0.0
6718114991,1747531475752341542,cSUIUSD,37816.0,125.0,,
6718115054,1747531476581794244,cLINKUSD,,,153760.0,3456.0
6718115084,1747531476931936545,cETHUSD,24832900.0,7572.0,24832800.0,14711.0
19615294396,1747531480074964306,BTCUSD,,,1032518000.0,0.0
6718115322,1747531477406899899,cADAUSD,7434.0,793.0,,
6718115631,1747531482140115758,cAVAXUSD,,,223100.0,1384.0
6718115048,1747531476427345867,cXRPUSD,23640.0,12806.0,23534.0,675.0
6718115013,1747531476138463210,cSOLUSD,,,1670700.0,743.0
6718115056,1747531476582111136,cLINKUSD,,,153720.0,5588.0
6718114992,1747531475818945736,cSUIUSD,,,37785.0,0.0
19615294397,1747531480093640653,BTCUSD,,,1032528000.0,54719.0
6718115101,1747531477045085920,cETHUSD,24832900.0,9433.0,24832800.0,12861.0
6718115328,1747531477431237114,cADAUSD,7434.0,1798.0,7430.0,1385.0
6718115720,1747531483236939426,cAVAXUSD,,,223100.0,759.0
6718115073,1747531476894851126,cXRPUSD,23630.0,11931.0,23625.0,3883.0
6718115020,1747531476249372666,cSOLUSD,1670800.0,0.0,,
6718115060,1747531476640563382,cLINKUSD,153880.0,530.0,,
6718114995,1747531475844380733,cSUIUSD,37789.0,945.0,,
19615294398,1747531480247996251,BTCUSD,,,1032683000.0,1091586.0
6718115176,1747531477075775779,cETHUSD,24832900.0,12653.0,24832800.0,0.0
6718115342,1747531477668978691,cADAUSD,,,7433.0,400.0
6718115726,1747531483242492522,cAVAXUSD,,,223100.0,623.0
6718115082,1747531476930973648,cXRPUSD,23628.0,675.0,,
6718115077,1747531476923521295,cSOLUSD,1674700.0,0.0,,
6718115083,1747531476931402622,cLINKUSD,153880.0,667.0,,
6718114996,1747531475883483647,cSUIUSD,37788.0,127.0,,
19615294399,1747531480364741532,BTCUSD,,,1032683000.0,1115550.0
6718115222,1747531477093590307,cETHUSD,24830600.0,200.0,24826800.0,27091.0
6718115373,1747531478163432152,cADAUSD,,,7433.0,793.0
6718115753,1747531483279267177,cAVAXUSD,,,223100.0,759.0
6718115091,1747531477014127506,cXRPUSD,23630.0,0.0,,
6718115097,1747531477037262613,cSOLUSD,,,1670700.0,425.0
6718115085,1747531476990901200,cLINKUSD,153870.0,135.0,,
6718115005,1747531476072932906,cSUIUSD,,,37775.0,221.0
19615294400,1747531480675358064,BTCUSD,,,1032683000.0,1109608.0
6718115242,1747531477108807956,cETHUSD,24830600.0,6552.0,24828000.0,68.0
6718115395,1747531478511177711,cADAUSD,7434.0,1405.0,,
6718115782,1747531483576854712,cAVAXUSD,,,222600.0,98241.0
6718115188,1747531477081968691,cXRPUSD,23626.0,11931.0,23617.0,0.0
6718115187,1747531477080562268,cSOLUSD,1670800.0,2254.0,1670700.0,0.0
6718115103,1747531477048516754,cLINKUSD,153870.0,272.0,153850.0,0.0
6718115018,1747531476248289247,cSUIUSD,,,37783.0,5436.0
19615294401,1747531480783925289,BTCUSD,,,1032683000.0,1115549.0
6718115261,1747531477130670857,cETHUSD,24830600.0,8730.0,,
6718115221,1747531477092159276,cXRPUSD,23626.0,0.0,23595.0,17789.0
6718115225,1747531477098612814,cSOLUSD,1670700.0,848.0,1670500.0,4440.0
6718115183,1747531477079277897,cLINKUSD,153860.0,2640.0,153830.0,135.0
6718115025,1747531476327852103,cSUIUSD,,,37784.0,125.0
6718115270,1747531477141023919,cETHUSD,24830600.0,10780.0,,
6718115445,1747531479119242020,cADAUSD,,,7433.0,400.0
6718116169,1747531488237271385,cAVAXUSD,,,222600.0,107841.0
6718115251,1747531477117245741,cXRPUSD,23630.0,23284.0,,
6718115228,1747531477099823452,cSOLUSD,1670800.0,0.0,,
6718115213,1747531477091029536,cLINKUSD,153850.0,272.0,,
6718115046,1747531476401762608,cSUIUSD,37788.0,125.0,37784.0,252.0
19615294407,1747531485412983669,BTCUSD,,,1032683000.0,1115549.0
6718115329,1747531477441006426,cETHUSD,24830600.0,10792.0,,
6718115467,1747531479394959318,cADAUSD,,,7433.0,793.0
6718116190,1747531488275980478,cAVAXUSD,,,223100.0,1359.0
6718115280,1747531477155747511,cXRPUSD,23628.0,12028.0,23616.0,0.0
6718115262,1747531477130801614,cSOLUSD,1670700.0,0.0,1670600.0,848.0
6718115241,1747531477108739784,cLINKUSD,153860.0,137.0,,
6718115049,1747531476478003192,cSUIUSD,37788.0,0.0,,
19615294408,1747531485858109033,BTCUSD,,,1032683000.0,1096423.0
6718115369,1747531478091035781,cETHUSD,24832400.0,1.0,,
6718115514,1747531480334053739,cADAUSD,7447.0,61063.0,,
6718116250,1747531488407765842,cAVAXUSD,,,223100.0,623.0
6718115291,1747531477177712027,cXRPUSD,23628.0,675.0,23528.0,101800.0
6718115279,1747531477152499328,cSOLUSD,1670800.0,7448.0,,
6718115268,1747531477133909159,cLINKUSD,153850.0,135.0,,
6718115050,1747531476486245475,cSUIUSD,37789.0,1072.0,,
19615294410,1747531485915053152,BTCUSD,1033144000.0,4656.0,1032683000.0,1115549.0
6718115403,1747531478636595292,cETHUSD,,,24830500.0,1851.0
6718115524,1747531480589290147,cADAUSD,7445.0,81541.0,,
6718116314,1747531488640562669,cAVAXUSD,,,223100.0,135.0
6718115298,1747531477195103902,cXRPUSD,23630.0,0.0,,
6718115297,1747531477190131086,cSOLUSD,1670700.0,848.0,1670600.0,0.0
6718115294,1747531477181028949,cLINKUSD,153850.0,0.0,153830.0,272.0
6718115052,1747531476514542838,cSUIUSD,37788.0,127.0,,
19615294411,1747531486767901421,BTCUSD,1032918000.0,0.0,,
6718115406,1747531478652691254,cETHUSD,,,24830500.0,0.0
6718115545,1747531481126982240,cADAUSD,,,7433.0,400.0
6718116317,1747531488669736214,cAVAXUSD,,,223100.0,270.0
6718115315,1747531477275839094,cXRPUSD,23626.0,23284.0,,
6718115302,1747531477212663430,cSOLUSD,,,1670600.0,10520.0
6718115306,1747531477226228196,cLINKUSD,153860.0,2640.0,,
6718115059,1747531476618704095,cSUIUSD,37788.0,0.0,,
19615294413,1747531486857618079,BTCUSD,1032918000.0,46400.0,,
6718115423,1747531478701344882,cETHUSD,24829400.0,7115.0,24829200.0,1850.0
6718115554,1747531481216094042,cADAUSD,,,7433.0,807.0
6718115317,1747531477286225024,cXRPUSD,23626.0,11931.0,,
6718115311,1747531477251163752,cSOLUSD,,,1670600.0,0.0
6718115310,1747531477248981967,cLINKUSD,153860.0,8.0,153840.0,2632.0
6718115062,1747531476663134024,cSUIUSD,37789.0,1197.0,,
6718115424,1747531478713968503,cETHUSD,24830500.0,34260.0,,
6718115647,1747531482364317394,cADAUSD,7434.0,1005.0,,
6718116396,1747531489216237529,cAVAXUSD,,,223100.0,0.0
6718115320,1747531477325663291,cXRPUSD,23626.0,0.0,,
6718115321,1747531477330143588,cSOLUSD,,,1670600.0,3072.0
6718115316,1747531477280661713,cLINKUSD,153860.0,0.0,,
6718115069,1747531476875427752,cSUIUSD,37788.0,127.0,,
19615294418,1747531493178243120,BTCUSD,,,1032630000.0,0.0
6718115650,1747531482504793706,cADAUSD,7434.0,1405.0,,
6718116438,1747531489230923435,cAVAXUSD,223100.0,753.0,,
6718115334,1747531477511636353,cXRPUSD,23626.0,23284.0,,
6718115323,1747531477409498308,cSOLUSD,,,1670600.0,3497.0
6718115325,1747531477419791346,cLINKUSD,,,153850.0,135.0
6718115178,1747531477078483157,cSUIUSD,,,37784.0,0.0
19615294419,1747531493195354288,BTCUSD,,,1032530000.0,20000.0
6718115425,1747531478739116439,cETHUSD,24830000.0,0.0,,
6718115695,1747531483231116115,cADAUSD,,,7433.0,0.0
6718116475,1747531489347529833,cAVAXUSD,223100.0,618.0,,
6718115336,1747531477535191027,cXRPUSD,23626.0,0.0,,
6718115326,1747531477421792265,cSOLUSD,1670700.0,0.0,,
6718115343,1747531477709110635,cLINKUSD,,,153850.0,0.0
6718115224,1747531477097733203,cSUIUSD,37787.0,1966.0,37667.0,125.0
19615294420,1747531493369151285,BTCUSD,1032684000.0,387.0,,
